,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,activation_state,fishing_net,behaviour,group_size,category_remap
1903.json,1.15269622857887,0.009852104517768,136,97.7166969415504,2022-07-17 17:28:29.686142562,2022-07-17 17:28:30.838838791,23.4692726398336,27.5832818656132,-55.20058,-51.07248,AFT,Absent,Attraction,5,80
1905.json,1.24138579568687,0.009852268219737,137,99.2219742872531,2022-07-17 17:28:36.160542395,2022-07-17 17:28:37.401928191,20.5815204473642,26.5754432678223,-54.7345,-48.73304,AFT,Absent,Attraction,5,17
1911.json,1.22018895616253,0.00984023351744,136,98.3915747126561,2022-07-17 17:28:06.767372911,2022-07-17 17:28:07.987561867,29.3558880570647,32.4459672283817,-47.868767,-44.778687,AFT,Absent,Attraction,5,80
1914.json,1.29563071830697,0.009890310826771,132,99.6866812307373,2022-07-17 17:28:07.929275637,2022-07-17 17:28:09.224906355,31.8788458701292,35.0162714858728,-46.796833,-43.647427,AFT,Absent,Attraction,5,45
1923.json,1.26747981079167,0.00990218602181,130,99.028779893612,2022-07-17 17:28:53.009115315,2022-07-17 17:28:54.276595126,27.5327399391798,30.864460615242,-53.498875,-50.136185,AFT,Absent,Attraction,5,18
1964.json,1.43864148579116,0.009921665419249,129,99.0441939136841,2022-07-17 17:44:56.697609423,2022-07-17 17:44:58.136250909,23.5692985703273,31.5618003929518,-59.57013,-51.55998,DUR,Absent,Foraging,8,1
1968.json,1.39630536165186,0.009902874905332,129,97.9781394135077,2022-07-17 17:44:48.034053663,2022-07-17 17:44:49.430359025,27.1603716286746,33.7911793318662,-56.41395,-49.757145,DUR,Absent,Foraging,8,1
1983.json,1.29486539427554,0.009884468658592,137,98.6191896606622,2022-07-17 17:51:48.003460734,2022-07-17 17:51:49.298326128,21.9149551391602,27.1096104580932,-53.135365,-47.95874,DUR+AFT,Absent,Foraging,8,17
1986.json,1.10468720737683,0.009863278637293,138,98.3689452368999,2022-07-17 17:51:49.220601130,2022-07-17 17:51:50.325288337,29.5387808710551,32.8134709639515,-46.641518,-43.32979,DUR+AFT,Absent,Foraging,8,93
2024.json,1.03031615975839,0.009812534854842,127,98.9308754157905,2022-07-17 18:41:54.777503884,2022-07-17 18:41:55.807820044,37.3504203796387,40.7449501917912,-55.79632,-52.40179,BEF,Absent,Travelling,10,9
