file_annot,whistle_ID,duration,min_freq,max_freq,start_freq,end_freq,activation_state,fishing_net,fishing_net_type,behaviour,sonar,signal_type,group_size,SNR,signal_dB,SNR_refined,signal_dB_refined
SCW1807_20200712_140500,5497,0.597620534754652,9567.5758833078,16518.5540537557,13747.8844333674,14355.4874202947,Control,Present,chalut_vert,Travelling,0,DOL5,6,21.2295629099796,-49.72702,23.7764831844129,-47.184994
SCW1807_20200712_140500,5498,0.916075767807307,8838.45229899508,11754.946636246,8838.45229899508,9737.70471964743,Control,Present,chalut_vert,Travelling,0,DOL5,6,28.2987761787746,-40.049442,29.8260473500127,-38.063953
SCW1807_20200712_140500,5499,0.80070602983578,9179.83501991259,10969.7195287827,9179.83501991259,10351.3957893549,Control,Present,chalut_vert,Travelling,0,DOL5,6,13.620802785836,-60.04303,15.3099325217453,-58.353897
SCW1807_20200712_140500,5500,1.21178419849905,7331.59689141546,14379.7915397717,8060.72047572818,7331.59689141546,Control,Present,chalut_vert,Travelling,0,DOL5,6,17.4909721173738,-52.79704,21.422817606675,-48.974102
SCW1807_20200712_140500,5501,0.215971203839494,9926.8801373414,11078.6026482579,9926.8801373414,11078.6026482579,Control,Present,chalut_vert,Travelling,0,DOL5,6,5.40714822496687,-68.7354,14.5720208031791,-58.526894
SCW1807_20200712_140500,5502,0.119984002133052,11264.4853230416,12137.4361311898,11264.4853230416,12137.4361311898,Control,Present,chalut_vert,Travelling,0,DOL5,6,2.05423855781555,-72.820694,14.7978928089142,-60.12407
SCW1807_20200712_140500,5503,0.127982935608586,8079.15587577453,8885.7989312977,8079.15587577453,8885.7989312977,Control,Present,chalut_vert,Travelling,0,DOL5,6,3.45789943021887,-67.74596,7.40570629344267,-63.68449
SCW1807_20200712_140500,5504,0.732935644115251,8592.48334452879,12113.8654641894,10610.353997368,9007.92730246628,Control,Present,chalut_vert,Travelling,0,DOL5,6,11.3674306972052,-58.304184,19.5054201515772,-50.20826
SCW1807_20200712_140500,5505,0.20064327650376,9182.7692874713,9887.6811420607,9182.7692874713,9887.6811420607,Control,Present,chalut_vert,Travelling,0,DOL5,6,6.58420005211463,-61.816612,11.3987387143649,-57.289314
SCW1807_20200712_140500,5506,1.27175304108689,6942.73097978201,13504.8432385965,8352.36990945326,13504.8432385965,Control,Present,chalut_vert,Travelling,0,DOL5,6,25.463742017746,-42.07128,29.9255582332611,-37.744102
SCW1807_20200712_140500,5507,0.555379068792348,11811.2902670304,17723.5393739787,17723.5393739787,12379.5432486798,Control,Present,chalut_vert,Travelling,0,DOL5,6,20.7872748576419,-59.895027,24.9255929866307,-55.759888
SCW1807_20200712_140500,5508,2.26502049058076,8938.36457998087,12069.318473592,9665.55387140024,12069.318473592,Control,Present,chalut_vert,Travelling,0,DOL5,6,24.9961713065564,-50.816105,27.3565067371852,-48.250126
SCW1807_20200712_140500,5509,0.359952006399148,7532.88512581975,8218.65918413234,7868.07730083063,8218.65918413234,Control,Present,chalut_vert,Travelling,0,DOL5,6,9.02787382706352,-63.233807,15.1986861021622,-57.555717
SCW1807_20200712_140500,5510,0.858174816343183,8814.14817951799,15789.430469443,15327.6521993783,8814.14817951799,Control,Present,chalut_vert,Travelling,0,DOL5,6,32.233338603267,-43.84402,34.3188262162385,-41.83826
SCW1807_20200712_140500,5511,0.687908278896147,7934.71104144629,9082.52906560562,8743.01070396451,9082.52906560562,Control,Present,chalut_vert,Travelling,0,DOL5,6,11.3703929418805,-61.673862,14.7680169028797,-58.044456
SCW1807_20200712_140500,5512,0.736169240043791,7550.33396670927,12168.1166673565,12168.1166673565,8303.76167049908,Control,Present,chalut_vert,Travelling,0,DOL5,6,17.3297880439348,-53.665306,20.4869207976967,-50.778976
SCW1807_20200712_140500,5513,0.423943474203441,6675.9588194819,7290.31560109449,6874.27094529033,7261.57513438193,Control,Present,chalut_vert,Travelling,0,DOL5,6,6.35726137514468,-65.57059,9.87662280047381,-62.55424
SCW1807_20200712_140500,5514,0.599688425878369,8838.45229899508,15157.5233630387,14549.9203761114,15157.5233630387,Control,Present,chalut_vert,Travelling,0,DOL5,6,23.329447896857,-48.57498,24.6184851495843,-47.285946
SCW1807_20200712_140500,5515,1.04428501747785,7161.46805507582,11123.0395298416,8911.36465742635,7574.63808618636,Control,Present,chalut_vert,Travelling,0,DOL5,6,14.5444879242868,-54.294426,18.0563401308927,-50.046535
SCW1807_20200712_140500,5516,0.334719179160514,7641.30054882786,13688.7100383312,9343.2660937779,13507.6498739748,Control,Present,chalut_vert,Travelling,0,DOL5,6,15.0948067598565,-59.809895,18.5793800354004,-56.349678
SCW1807_20200712_140500,5517,0.279165301701997,7914.89575886563,8619.71522370126,8425.28226788454,8303.76167049908,Control,Present,chalut_vert,Travelling,0,DOL5,6,11.0503726535373,-58.20853,15.1020639207628,-54.15684
SCW1807_20200712_140500,5518,1.05876025534388,8182.24107311363,11852.1631141543,8644.01934317835,8182.24107311363,Control,Present,chalut_vert,Travelling,0,DOL5,6,14.8951773857003,-56.095013,16.3366730533429,-54.718502
SCW1807_20200712_140500,5519,0.423943474203437,15381.4825024301,16627.2061990584,15381.4825024301,16453.0564466636,Control,Present,chalut_vert,Travelling,0,DOL5,6,9.46031747040925,-64.995834,20.7514011241772,-52.74028
SCW1807_20200712_140500,5520,1.05876025534388,6578.16918762565,11366.0807246125,6578.16918762565,8109.32871468236,Control,Present,chalut_vert,Travelling,0,DOL5,6,24.8087796232754,-43.74019,27.0514601944084,-41.270523
SCW1807_20200712_140500,5521,0.235739588103911,6796.90626291946,8328.06578997617,7210.07629403,6796.90626291946,Control,Present,chalut_vert,Travelling,0,DOL5,6,17.9131395893712,-51.132526,22.4678940311555,-46.390507
SCW1807_20200712_140500,5522,0.181974418887229,9932.13767546416,11123.0395298416,9932.13767546416,11123.0395298416,Control,Present,chalut_vert,Travelling,0,DOL5,6,11.4965349280316,-59.75054,18.229385541833,-53.41021
SCW1807_20200712_140500,5523,0.221264350237881,8036.41635625109,8376.67402893035,8303.76167049908,8036.41635625109,Control,Present,chalut_vert,Travelling,0,DOL5,6,9.21241983874091,-59.310925,10.3314305009513,-58.191917
SCW1807_20200712_140500,5524,0.123621450512516,10766.2702469445,14095.2014548544,14095.2014548544,10766.2702469445,Control,Present,chalut_vert,Travelling,0,DOL5,6,17.0740897655487,-60.377884,18.4516603946686,-58.938484
SCW1807_20200712_140500,5525,0.206789112371851,9543.27176383071,19386.4401520524,9543.27176383071,19386.4401520524,Control,Present,chalut_vert,Travelling,0,DOL5,6,7.85753052322953,-62.666546,11.0032306247287,-59.65881
SCW1807_20200712_140500,5526,0.529234798973647,9774.22534320211,11560.5136804292,9810.18069571459,11560.5136804292,Control,Present,chalut_vert,Travelling,0,DOL5,6,9.66595157224741,-62.88254,13.67472805194,-58.4975
SCW1807_20200712_140500,5527,0.143980802559659,11040.8682844622,11791.761036421,11040.8682844622,11791.761036421,Control,Present,chalut_vert,Travelling,0,DOL5,6,4.26921001233553,-66.91404,12.6238361157869,-59.23805
