,start_dt,stop_dt,activation_state,fishing_net,behaviour,group_size,date,sequence,file
10990.json,2020-07-16 09:31:51.257165711,2020-07-16 09:31:52.209038795,Control,Present,Attraction,5.0,2020-07-16 09:31:00,2020-07-16_09:30,2020-07-16_09:31
1150.json,2020-07-11 11:51:37.067057726,2020-07-11 11:51:37.746967071,DUR,Present,Foraging,8.0,2020-07-11 11:51:00,2020-07-11_11:40,2020-07-11_11:51
1866.json,2022-07-17 17:28:29.056628990,2022-07-17 17:28:29.460219361,AFT,Absent,Attraction,5.0,2022-07-17 17:28:00,2022-07-17_17:21,2022-07-17_17:28
4393.json,2022-07-18 19:49:43.860745940,2022-07-18 19:49:43.966656536,DUR,Absent,Foraging,10.0,2022-07-18 19:49:00,2022-07-18_19:28,2022-07-18_19:49
580.json,2020-07-11 09:39:55.512598320,2020-07-11 09:39:55.720570591,DUR,Present,Attraction,5.0,2020-07-11 09:39:00,2020-07-11_09:33,2020-07-11_09:39
6817.json,2020-07-12 13:56:26.209544737,2020-07-12 13:56:26.454965876,Control,Present,Travelling,3.0,2020-07-12 13:56:00,2020-07-12_13:42,2020-07-12_13:56
12203.json,2020-07-16 10:26:18.359694086,2020-07-16 10:26:18.526496159,DUR+AFT,Present,Attraction,3.0,2020-07-16 10:26:00,2020-07-16_10:21,2020-07-16_10:26
10460.json,2020-07-16 10:10:20.957205706,2020-07-16 10:10:21.581122517,DUR,Present,Foraging,8.0,2020-07-16 10:10:00,2020-07-16_10:06,2020-07-16_10:10
6991.json,2020-07-12 09:40:18.077589655,2020-07-12 09:40:18.501533129,Control,Present,Attraction,15.0,2020-07-12 09:40:00,2020-07-12_09:39,2020-07-12_09:40
3849.json,2022-07-18 19:06:44.703467849,2022-07-18 19:06:45.150157158,DUR,Absent,Foraging,4.0,2022-07-18 19:06:00,2022-07-18_19:03,2022-07-18_19:06
169.json,2020-07-11 11:41:34.075456606,2020-07-11 11:41:35.379282762,DUR,Present,Foraging,12.0,2020-07-11 11:41:00,2020-07-11_11:40,2020-07-11_11:41
9007.json,2020-07-13 07:20:08.196040055,2020-07-13 07:20:09.695120051,Control,Present,Travelling,10.0,2020-07-13 07:20:00,2020-07-13_07:18,2020-07-13_07:20
10504.json,2020-07-16 08:27:04.422272682,2020-07-16 08:27:04.600993026,DUR,Absent,Foraging,40.0,2020-07-16 08:27:00,2020-07-16_08:23,2020-07-16_08:27
4536.json,2022-07-18 19:04:31.942221061,2022-07-18 19:04:32.622327816,DUR,Absent,Foraging,8.0,2022-07-18 19:04:00,2022-07-18_19:03,2022-07-18_19:04
2454.json,2022-07-17 17:53:51.412871930,2022-07-17 17:53:52.068570996,DUR,Absent,Foraging,8.0,2022-07-17 17:53:00,2022-07-17_17:21,2022-07-17_17:53
7064.json,2020-07-12 13:31:11.886587851,2020-07-12 13:31:12.772648774,DUR,Present,Travelling,4.0,2020-07-12 13:31:00,2020-07-12_13:20,2020-07-12_13:31
9913.json,2020-07-16 10:11:30.814626631,2020-07-16 10:11:31.018552586,DUR,Present,Milling,8.0,2020-07-16 10:11:00,2020-07-16_10:06,2020-07-16_10:11
5023.json,2022-07-18 18:54:36.493177033,2022-07-18 18:54:36.679639582,DUR,Absent,Foraging,5.0,2022-07-18 18:54:00,2022-07-18_18:23,2022-07-18_18:54
7374.json,2020-07-12 11:52:55.705559228,2020-07-12 11:52:56.448473537,DUR,Present,Travelling,3.0,2020-07-12 11:52:00,2020-07-12_11:48,2020-07-12_11:52
896.json,2020-07-11 11:52:11.246500467,2020-07-11 11:52:11.639382756,DUR,Present,Foraging,8.0,2020-07-11 11:52:00,2020-07-11_11:40,2020-07-11_11:52
9419.json,2020-07-17 08:43:39.626716438,2020-07-17 08:43:40.376521226,DUR,Present,Travelling,20.0,2020-07-17 08:43:00,2020-07-17_08:37,2020-07-17_08:43
4905.json,2022-07-18 17:57:32.168500656,2022-07-18 17:57:32.526813021,DUR+AFT,Absent,Foraging,12.0,2022-07-18 17:57:00,2022-07-18_17:37,2022-07-18_17:57
9907.json,2020-07-16 10:11:28.293968110,2020-07-16 10:11:29.975521473,DUR,Present,Milling,8.0,2020-07-16 10:11:00,2020-07-16_10:06,2020-07-16_10:11
1972.json,2022-07-17 17:44:16.024898299,2022-07-17 17:44:16.591787310,DUR,Absent,Foraging,8.0,2022-07-17 17:44:00,2022-07-17_17:21,2022-07-17_17:44
5488.json,2020-07-12 14:05:31.180542121,2020-07-12 14:05:31.517353588,Control,Present,Travelling,6.0,2020-07-12 14:05:00,2020-07-12_13:42,2020-07-12_14:05
13087.json,2021-07-09 11:13:04.888012145,2021-07-09 11:13:05.174607027,Control,Present,,,2021-07-09 11:13:00,2021-07-09_11:09,2021-07-09_11:13
10091.json,2020-07-16 09:02:27.946103936,2020-07-16 09:02:28.264483921,DUR,Present,Travelling,6.0,2020-07-16 09:02:00,2020-07-16_08:58,2020-07-16_09:02
1793.json,2022-07-17 17:32:40.733149446,2022-07-17 17:32:41.184565617,DUR,Absent,Foraging,5.0,2022-07-17 17:32:00,2022-07-17_17:21,2022-07-17_17:32
9768.json,2020-07-17 09:03:22.964104079,2020-07-17 09:03:23.290032030,AFT,Present,Attraction,4.0,2020-07-17 09:03:00,2020-07-17_08:57,2020-07-17_09:03
12896.json,2022-07-16 19:10:11.937227757,2022-07-16 19:10:12.630315958,Control,Absent,Foraging,3.0,2022-07-16 19:10:00,2022-07-16_19:01,2022-07-16_19:10
9787.json,2020-07-17 09:41:22.966515696,2020-07-17 09:41:23.369272288,AFT,Absent,Milling,15.0,2020-07-17 09:41:00,2020-07-17_09:38,2020-07-17_09:41
5096.json,2022-07-18 19:15:53.897740296,2022-07-18 19:15:54.115734063,DUR,Absent,Foraging,4.0,2022-07-18 19:15:00,2022-07-18_19:03,2022-07-18_19:15
12486.json,2020-07-16 09:01:07.574686055,2020-07-16 09:01:08.246864689,DUR,Present,Travelling,6.0,2020-07-16 09:01:00,2020-07-16_08:58,2020-07-16_09:01
12592.json,2020-07-16 09:07:04.006350311,2020-07-16 09:07:04.369799625,DUR,Present,Travelling,5.0,2020-07-16 09:07:00,2020-07-16_08:58,2020-07-16_09:07
6320.json,2020-07-12 13:59:16.541794427,2020-07-12 13:59:16.757765631,Control,Present,Attraction,2.0,2020-07-12 13:59:00,2020-07-12_13:42,2020-07-12_13:59
1059.json,2020-07-11 13:22:04.176522859,2020-07-11 13:22:04.362962147,AFT,Present,Travelling,11.0,2020-07-11 13:22:00,2020-07-11_13:15,2020-07-11_13:22
13141.json,2021-07-09 12:14:01.093648240,2021-07-09 12:14:02.059318631,AFT,Absent,Foraging,12.0,2021-07-09 12:14:00,2021-07-09_12:08,2021-07-09_12:14
4233.json,2022-07-18 18:40:38.602394191,2022-07-18 18:40:39.209531259,DUR,Absent,Attraction,5.0,2022-07-18 18:40:00,2022-07-18_18:23,2022-07-18_18:40
3766.json,2022-07-18 19:17:36.838039606,2022-07-18 19:17:37.690128679,DUR,Absent,Foraging,4.0,2022-07-18 19:17:00,2022-07-18_19:03,2022-07-18_19:17
