,start_dt,stop_dt,activation_state,fishing_net,behaviour,group_size,date,sequence,file
12937.json,2021-07-09 12:08:47.538949364,2021-07-09 12:08:47.733488083,BEF,Absent,Travelling,12.0,2021-07-09 12:08:00,2021-07-09_12:08,2021-07-09_12:08
11963.json,2020-07-16 08:59:07.063157306,2020-07-16 08:59:08.359665235,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59
1598.json,2022-07-17 17:41:05.071324756,2022-07-17 17:41:05.264621015,DUR,Absent,Attraction,8.0,2022-07-17 17:41:00,2022-07-17_17:21,2022-07-17_17:41
5501.json,2020-07-12 14:05:42.330355953,2020-07-12 14:05:42.546327156,Control,Present,Travelling,6.0,2020-07-12 14:05:00,2020-07-12_13:42,2020-07-12_14:05
5973.json,2020-07-12 14:02:46.926565992,2020-07-12 14:02:47.745401969,Control,Present,Attraction,2.0,2020-07-12 14:02:00,2020-07-12_13:42,2020-07-12_14:02
5509.json,2020-07-12 14:05:40.634582056,2020-07-12 14:05:40.994534062,Control,Present,Travelling,6.0,2020-07-12 14:05:00,2020-07-12_13:42,2020-07-12_14:05
10431.json,2020-07-16 10:10:39.076489603,2020-07-16 10:10:39.372524085,DUR,Present,Foraging,8.0,2020-07-16 10:10:00,2020-07-16_10:06,2020-07-16_10:10
12026.json,2020-07-16 09:33:25.832100024,2020-07-16 09:33:26.284818665,Control,Present,Attraction,5.0,2020-07-16 09:33:00,2020-07-16_09:30,2020-07-16_09:33
8336.json,2020-07-13 06:44:12.086808397,2020-07-13 06:44:13.431572691,Control,Present,Attraction,10.0,2020-07-13 06:44:00,2020-07-13_06:37,2020-07-13_06:44
2564.json,2022-07-17 17:47:38.021444775,2022-07-17 17:47:38.255217554,DUR,Absent,Foraging,8.0,2022-07-17 17:47:00,2022-07-17_17:21,2022-07-17_17:47
5041.json,2022-07-18 18:54:42.751558073,2022-07-18 18:54:42.992247755,DUR,Absent,Foraging,5.0,2022-07-18 18:54:00,2022-07-18_18:23,2022-07-18_18:54
2043.json,2022-07-17 17:31:01.272379845,2022-07-17 17:31:02.038834466,DUR,Absent,Foraging,5.0,2022-07-17 17:31:00,2022-07-17_17:21,2022-07-17_17:31
10740.json,2020-07-16 09:55:50.462041240,2020-07-16 09:55:51.126438361,DUR,Present,Attraction,7.0,2020-07-16 09:55:00,2020-07-16_09:51,2020-07-16_09:55
6144.json,2020-07-12 13:45:28.408745630,2020-07-12 13:45:28.543726196,DUR,Present,Attraction,8.0,2020-07-12 13:45:00,2020-07-12_13:42,2020-07-12_13:45
3230.json,2022-07-18 19:14:18.836817138,2022-07-18 19:14:19.101478072,DUR,Absent,Foraging,4.0,2022-07-18 19:14:00,2022-07-18_19:03,2022-07-18_19:14
34.json,2020-07-11 09:36:06.988590109,2020-07-11 09:36:07.203168610,DUR,Present,Travelling,8.0,2020-07-11 09:36:00,2020-07-11_09:33,2020-07-11_09:36
5085.json,2022-07-18 19:15:22.400719225,2022-07-18 19:15:22.551818342,DUR,Absent,Foraging,4.0,2022-07-18 19:15:00,2022-07-18_19:03,2022-07-18_19:15
2613.json,2022-07-17 17:21:30.256162467,2022-07-17 17:21:30.757309610,BEF,Absent,Milling,10.0,2022-07-17 17:21:00,2022-07-17_17:21,2022-07-17_17:21
9499.json,2020-07-17 06:53:25.768712356,2020-07-17 06:53:26.061193863,DUR,Present,Travelling,8.0,2020-07-17 06:53:00,2020-07-17_06:50,2020-07-17_06:53
6952.json,2020-07-12 13:43:19.013464871,2020-07-12 13:43:19.573390215,DUR,Present,Attraction,8.0,2020-07-12 13:43:00,2020-07-12_13:42,2020-07-12_13:43
5876.json,2020-07-12 10:10:41.384734345,2020-07-12 10:10:41.822746557,Control,Present,Travelling,5.0,2020-07-12 10:10:00,2020-07-12_10:09,2020-07-12_10:10
10964.json,2020-07-16 10:22:56.222885171,2020-07-16 10:22:57.208890297,AFT,Present,Milling,5.0,2020-07-16 10:22:00,2020-07-16_10:21,2020-07-16_10:22
2250.json,2022-07-17 17:30:48.657232173,2022-07-17 17:30:49.070662091,BEF+DUR,Absent,Foraging,5.0,2022-07-17 17:30:00,2022-07-17_17:21,2022-07-17_17:30
8994.json,2020-07-13 07:20:18.947793972,2020-07-13 07:20:19.303094872,Control,Present,Travelling,10.0,2020-07-13 07:20:00,2020-07-13_07:18,2020-07-13_07:20
13034.json,2021-07-09 11:16:38.229742519,2021-07-09 11:16:38.846780005,Control,Present,,,2021-07-09 11:16:00,2021-07-09_11:09,2021-07-09_11:16
13565.json,2021-07-09 12:12:27.796216885,2021-07-09 12:12:28.223685805,DUR,Absent,Foraging,12.0,2021-07-09 12:12:00,2021-07-09_12:08,2021-07-09_12:12
10878.json,2020-07-16 09:58:56.696440475,2020-07-16 09:58:56.968404213,DUR,Present,Travelling,7.0,2020-07-16 09:58:00,2020-07-16_09:51,2020-07-16_09:58
3831.json,2022-07-18 19:17:55.739119075,2022-07-18 19:17:55.912117815,DUR,Absent,Foraging,4.0,2022-07-18 19:17:00,2022-07-18_19:03,2022-07-18_19:17
1962.json,2022-07-17 17:44:10.041109105,2022-07-17 17:44:10.602198432,DUR,Absent,Foraging,8.0,2022-07-17 17:44:00,2022-07-17_17:21,2022-07-17_17:44
115.json,2020-07-11 09:04:40.842554326,2020-07-11 09:04:41.098520197,DUR,Absent,Socialising,8.0,2020-07-11 09:04:00,2020-07-11_08:36,2020-07-11_09:04
6860.json,2020-07-12 09:04:48.073590188,2020-07-12 09:04:48.873248273,BEF,Absent,Attraction,12.0,2020-07-12 09:04:00,2020-07-12_09:03,2020-07-12_09:04
101.json,2020-07-11 09:04:44.580334550,2020-07-11 09:04:45.355123384,DUR,Absent,Socialising,8.0,2020-07-11 09:04:00,2020-07-11_08:36,2020-07-11_09:04
1675.json,2022-07-17 17:29:52.162925432,2022-07-17 17:29:52.417340066,AFT,Absent,Attraction,5.0,2022-07-17 17:29:00,2022-07-17_17:21,2022-07-17_17:29
2714.json,2020-07-18 08:48:50.746011519,2020-07-18 08:48:51.058638043,AFT,Present,Socialising,10.0,2020-07-18 08:48:00,2020-07-18_08:45,2020-07-18_08:48
11390.json,2020-07-16 09:42:31.272906550,2020-07-16 09:42:32.112066607,Control,Present,Attraction,5.0,2020-07-16 09:42:00,2020-07-16_09:30,2020-07-16_09:42
1438.json,2022-07-17 18:42:58.270468695,2022-07-17 18:42:59.221957330,DUR,Absent,Travelling,10.0,2022-07-17 18:42:00,2022-07-17_18:41,2022-07-17_18:42
6986.json,2020-07-12 09:40:54.456813208,2020-07-12 09:40:54.649827462,Control,Present,Attraction,15.0,2020-07-12 09:40:00,2020-07-12_09:39,2020-07-12_09:40
10410.json,2020-07-16 10:10:18.691283139,2020-07-16 10:10:19.546522976,DUR,Present,Foraging,8.0,2020-07-16 10:10:00,2020-07-16_10:06,2020-07-16_10:10
4439.json,2022-07-18 17:19:45.027109596,2022-07-18 17:19:45.218369586,DUR,Absent,Attraction,4.0,2022-07-18 17:19:00,2022-07-18_17:13,2022-07-18_17:19
13416.json,2021-07-09 11:14:31.701415558,2021-07-09 11:14:33.572300959,Control,Present,,,2021-07-09 11:14:00,2021-07-09_11:09,2021-07-09_11:14
9449.json,2020-07-17 11:26:06.468997870,2020-07-17 11:26:06.792736214,DUR,Absent,Socialising,7.0,2020-07-17 11:26:00,2020-07-17_11:25,2020-07-17_11:26
1791.json,2022-07-17 17:32:53.725967774,2022-07-17 17:32:54.087556084,DUR,Absent,Foraging,5.0,2022-07-17 17:32:00,2022-07-17_17:21,2022-07-17_17:32
12534.json,2020-07-16 09:01:02.955976138,2020-07-16 09:01:03.374616412,DUR,Present,Travelling,6.0,2020-07-16 09:01:00,2020-07-16_08:58,2020-07-16_09:01
3210.json,2022-07-20 07:17:00.985508033,2022-07-20 07:17:01.239921024,DUR+AFT,Absent,Travelling,2.0,2022-07-20 07:17:00,2022-07-20_07:11,2022-07-20_07:17
5719.json,2020-07-12 14:06:40.114902476,2020-07-12 14:06:41.340246102,Control,Present,Travelling,6.0,2020-07-12 14:06:00,2020-07-12_13:42,2020-07-12_14:06
7316.json,2020-07-12 13:21:37.355019331,2020-07-12 13:21:38.314891348,DUR,Present,Travelling,6.0,2020-07-12 13:21:00,2020-07-12_13:20,2020-07-12_13:21
11130.json,2020-07-16 10:07:06.885122898,2020-07-16 10:07:07.885255598,DUR,Present,Travelling,8.0,2020-07-16 10:07:00,2020-07-16_10:06,2020-07-16_10:07
12013.json,2020-07-16 08:59:56.638253729,2020-07-16 08:59:56.765394588,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59
6447.json,2020-07-12 09:41:11.846420477,2020-07-12 09:41:12.061879879,Control,Present,Attraction,15.0,2020-07-12 09:41:00,2020-07-12_09:39,2020-07-12_09:41
10610.json,2020-07-16 09:03:14.892843257,2020-07-16 09:03:15.214187872,DUR,Present,Travelling,6.0,2020-07-16 09:03:00,2020-07-16_08:58,2020-07-16_09:03
10121.json,2020-07-16 09:02:15.043864414,2020-07-16 09:02:15.248873577,DUR,Present,Travelling,6.0,2020-07-16 09:02:00,2020-07-16_08:58,2020-07-16_09:02
13128.json,2021-07-09 11:13:55.364435608,2021-07-09 11:13:55.716399561,Control,Present,,,2021-07-09 11:13:00,2021-07-09_11:09,2021-07-09_11:13
6083.json,2020-07-12 13:45:32.350492491,2020-07-12 13:45:32.728505044,DUR,Present,Attraction,8.0,2020-07-12 13:45:00,2020-07-12_13:42,2020-07-12_13:45
9733.json,2020-07-17 09:02:33.519591325,2020-07-17 09:02:33.680158048,DUR+AFT,Present,Attraction,4.0,2020-07-17 09:02:00,2020-07-17_08:57,2020-07-17_09:02
10516.json,2020-07-16 09:03:17.340438434,2020-07-16 09:03:17.854454163,DUR,Present,Travelling,6.0,2020-07-16 09:03:00,2020-07-16_08:58,2020-07-16_09:03
3202.json,2022-07-20 07:13:18.648989636,2022-07-20 07:13:18.939979257,DUR,Absent,Travelling,4.0,2022-07-20 07:13:00,2022-07-20_07:11,2022-07-20_07:13
1510.json,2022-07-17 17:33:47.907160494,2022-07-17 17:33:48.250950220,DUR,Absent,Foraging,5.0,2022-07-17 17:33:00,2022-07-17_17:21,2022-07-17_17:33
4412.json,2022-07-18 16:46:09.464256676,2022-07-18 16:46:09.906835158,Control,Absent,Foraging,6.0,2022-07-18 16:46:00,2022-07-18_16:37,2022-07-18_16:46
2845.json,2020-07-18 08:15:17.012651449,2020-07-18 08:15:17.428217125,DUR+AFT,Present,Travelling,4.0,2020-07-18 08:15:00,2020-07-18_07:53,2020-07-18_08:15
4053.json,2022-07-18 18:31:51.548587337,2022-07-18 18:31:51.740124183,AFT,Absent,Foraging,7.0,2022-07-18 18:31:00,2022-07-18_18:23,2022-07-18_18:31
1454.json,2022-07-17 17:34:42.306359152,2022-07-17 17:34:43.328176169,DUR+AFT,Absent,Foraging,5.0,2022-07-17 17:34:00,2022-07-17_17:21,2022-07-17_17:34
7368.json,2020-07-12 11:52:48.905479269,2020-07-12 11:52:49.942702765,DUR,Present,Travelling,3.0,2020-07-12 11:52:00,2020-07-12_11:48,2020-07-12_11:52
1851.json,2022-07-17 17:23:22.794347456,2022-07-17 17:23:23.715580951,DUR,Absent,Milling,10.0,2022-07-17 17:23:00,2022-07-17_17:21,2022-07-17_17:23
7927.json,2020-07-13 06:43:33.543061891,2020-07-13 06:43:34.296629528,DUR+AFT,Present,Attraction,10.0,2020-07-13 06:43:00,2020-07-13_06:37,2020-07-13_06:43
4346.json,2022-07-18 19:49:31.361287963,2022-07-18 19:49:31.953805224,DUR,Absent,Foraging,10.0,2022-07-18 19:49:00,2022-07-18_19:28,2022-07-18_19:49
2077.json,2022-07-17 17:31:36.609545551,2022-07-17 17:31:36.900834674,DUR,Absent,Foraging,5.0,2022-07-17 17:31:00,2022-07-17_17:21,2022-07-17_17:31
8434.json,2020-07-13 06:38:45.137981602,2020-07-13 06:38:45.433942141,BEF+DUR,Absent,Attraction,10.0,2020-07-13 06:38:00,2020-07-13_06:37,2020-07-13_06:38
2661.json,2020-07-18 08:09:57.823804394,2020-07-18 08:09:58.206408066,DUR,Present,Travelling,3.0,2020-07-18 08:09:00,2020-07-18_07:53,2020-07-18_08:09
10641.json,2020-07-16 09:03:58.953867673,2020-07-16 09:03:59.097899356,DUR,Present,Travelling,6.0,2020-07-16 09:03:00,2020-07-16_08:58,2020-07-16_09:03
8619.json,2020-07-13 06:40:35.926965806,2020-07-13 06:40:36.163178243,DUR+AFT,Present,Attraction,10.0,2020-07-13 06:40:00,2020-07-13_06:37,2020-07-13_06:40
4060.json,2022-07-18 18:31:02.785576415,2022-07-18 18:31:03.473582394,AFT,Absent,Foraging,7.0,2022-07-18 18:31:00,2022-07-18_18:23,2022-07-18_18:31
12040.json,2020-07-16 09:33:37.710676316,2020-07-16 09:33:38.066865506,Control,Present,Attraction,5.0,2020-07-16 09:33:00,2020-07-16_09:30,2020-07-16_09:33
2741.json,2020-07-18 08:46:46.691619517,2020-07-18 08:46:47.104119451,DUR+AFT,Present,Socialising,10.0,2020-07-18 08:46:00,2020-07-18_08:45,2020-07-18_08:46
5226.json,2022-07-18 19:08:29.572057059,2022-07-18 19:08:29.828022930,DUR,Absent,Foraging,4.0,2022-07-18 19:08:00,2022-07-18_19:03,2022-07-18_19:08
11815.json,2020-07-16 09:04:57.664939716,2020-07-16 09:04:58.340665278,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04
3759.json,2022-07-18 19:17:21.597120384,2022-07-18 19:17:21.765097987,DUR,Absent,Foraging,4.0,2022-07-18 19:17:00,2022-07-18_19:03,2022-07-18_19:17
3705.json,2022-07-18 19:09:57.578192403,2022-07-18 19:09:57.737560659,DUR,Absent,Foraging,4.0,2022-07-18 19:09:00,2022-07-18_19:03,2022-07-18_19:09
8408.json,2020-07-13 07:55:54.952324628,2020-07-13 07:55:55.688211128,BEF+DUR,Absent,Travelling,6.0,2020-07-13 07:55:00,2020-07-13_07:54,2020-07-13_07:55
7018.json,2020-07-12 09:40:56.682280951,2020-07-12 09:40:57.035785766,Control,Present,Attraction,15.0,2020-07-12 09:40:00,2020-07-12_09:39,2020-07-12_09:40
2352.json,2022-07-17 17:25:05.855942643,2022-07-17 17:25:06.707689345,DUR,Absent,Attraction,5.0,2022-07-17 17:25:00,2022-07-17_17:21,2022-07-17_17:25
12952.json,2021-07-09 12:13:41.768588176,2021-07-09 12:13:42.047857608,DUR+AFT,Absent,Foraging,12.0,2021-07-09 12:13:00,2021-07-09_12:08,2021-07-09_12:13
2365.json,2022-07-17 17:25:15.789466283,2022-07-17 17:25:16.318557557,DUR,Absent,Attraction,5.0,2022-07-17 17:25:00,2022-07-17_17:21,2022-07-17_17:25
9470.json,2020-07-17 09:20:02.660685811,2020-07-17 09:20:03.798064809,DUR,Present,Milling,10.0,2020-07-17 09:20:00,2020-07-17_09:17,2020-07-17_09:20
9995.json,2020-07-16 09:57:57.767890939,2020-07-16 09:57:57.890507337,DUR,Present,Travelling,7.0,2020-07-16 09:57:00,2020-07-16_09:51,2020-07-16_09:57
5114.json,2022-07-18 17:16:44.588924455,2022-07-18 17:16:46.096539664,DUR+AFT,Absent,Attraction,6.0,2022-07-18 17:16:00,2022-07-18_17:13,2022-07-18_17:16
4281.json,2022-07-18 17:56:04.125952174,2022-07-18 17:56:04.708174446,DUR,Absent,Foraging,12.0,2022-07-18 17:56:00,2022-07-18_17:37,2022-07-18_17:56
10985.json,2020-07-16 10:22:04.641482566,2020-07-16 10:22:06.127183042,AFT,Present,Milling,5.0,2020-07-16 10:22:00,2020-07-16_10:21,2020-07-16_10:22
2368.json,2022-07-17 17:25:10.717714007,2022-07-17 17:25:11.620242363,DUR,Absent,Attraction,5.0,2022-07-17 17:25:00,2022-07-17_17:21,2022-07-17_17:25
9562.json,2020-07-17 08:12:46.233026156,2020-07-17 08:12:47.306497292,DUR,Present,Attraction,20.0,2020-07-17 08:12:00,2020-07-17_08:08,2020-07-17_08:12
12531.json,2020-07-16 09:01:29.818930624,2020-07-16 09:01:30.372445484,DUR,Present,Travelling,6.0,2020-07-16 09:01:00,2020-07-16_08:58,2020-07-16_09:01
3300.json,2022-07-18 19:42:02.759306962,2022-07-18 19:42:03.197675776,DUR,Absent,Travelling,6.0,2022-07-18 19:42:00,2022-07-18_19:28,2022-07-18_19:42
1728.json,2022-07-17 17:29:43.933357972,2022-07-17 17:29:44.737488540,AFT,Absent,Attraction,5.0,2022-07-17 17:29:00,2022-07-17_17:21,2022-07-17_17:29
2886.json,2020-07-18 08:47:35.675884431,2020-07-18 08:47:35.960855382,AFT,Present,Socialising,10.0,2020-07-18 08:47:00,2020-07-18_08:45,2020-07-18_08:47
1345.json,2020-07-11 11:50:04.750485812,2020-07-11 11:50:05.002818975,DUR,Present,Foraging,8.0,2020-07-11 11:50:00,2020-07-11_11:40,2020-07-11_11:50
9987.json,2020-07-16 09:05:50.014403203,2020-07-16 09:05:50.458455679,DUR,Present,Travelling,5.0,2020-07-16 09:05:00,2020-07-16_08:58,2020-07-16_09:05
11809.json,2020-07-16 09:04:46.302794098,2020-07-16 09:04:47.011063049,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04
3255.json,2022-07-18 19:14:58.939809855,2022-07-18 19:14:59.329149082,DUR,Absent,Foraging,4.0,2022-07-18 19:14:00,2022-07-18_19:03,2022-07-18_19:14
8648.json,2020-07-13 06:40:07.798213343,2020-07-13 06:40:08.574856686,DUR+AFT,Present,Attraction,10.0,2020-07-13 06:40:00,2020-07-13_06:37,2020-07-13_06:40
1081.json,2020-07-11 13:22:50.289481437,2020-07-11 13:22:50.604250452,AFT,Present,Travelling,11.0,2020-07-11 13:22:00,2020-07-11_13:15,2020-07-11_13:22
4091.json,2022-07-18 18:31:52.467857781,2022-07-18 18:31:52.857239171,AFT,Absent,Foraging,7.0,2022-07-18 18:31:00,2022-07-18_18:23,2022-07-18_18:31
13469.json,2021-07-09 11:29:33.504440030,2021-07-09 11:29:33.791344998,Control,Present,,,2021-07-09 11:29:00,2021-07-09_11:09,2021-07-09_11:29
6575.json,2020-07-12 13:58:34.963338222,2020-07-12 13:58:35.171310492,Control,Present,Attraction,2.0,2020-07-12 13:58:00,2020-07-12_13:42,2020-07-12_13:58
8291.json,2020-07-13 08:17:56.632449007,2020-07-13 08:17:56.736435142,Control,Absent,Attraction,6.0,2020-07-13 08:17:00,2020-07-13_08:17,2020-07-13_08:17
1236.json,2020-07-11 11:57:26.580455939,2020-07-11 11:57:27.228369551,DUR,Present,Travelling,6.0,2020-07-11 11:57:00,2020-07-11_11:40,2020-07-11_11:57
3076.json,2020-07-18 08:58:05.772699517,2020-07-18 08:58:06.743338424,BEF+DUR,Present,Travelling,20.0,2020-07-18 08:58:00,2020-07-18_08:57,2020-07-18_08:58
12514.json,2020-07-16 09:01:26.948308345,2020-07-16 09:01:27.501823205,DUR,Present,Travelling,6.0,2020-07-16 09:01:00,2020-07-16_08:58,2020-07-16_09:01
6869.json,2020-07-12 09:04:16.944080327,2020-07-12 09:04:17.345753018,BEF,Absent,Attraction,12.0,2020-07-12 09:04:00,2020-07-12_09:03,2020-07-12_09:04
12701.json,2020-07-16 09:59:23.700839888,2020-07-16 09:59:24.072455067,DUR,Present,Travelling,7.0,2020-07-16 09:59:00,2020-07-16_09:51,2020-07-16_09:59
7358.json,2020-07-12 11:52:21.717104386,2020-07-12 11:52:22.596987068,DUR,Present,Travelling,3.0,2020-07-12 11:52:00,2020-07-12_11:48,2020-07-12_11:52
10877.json,2020-07-16 09:58:22.581342544,2020-07-16 09:58:22.914884983,DUR,Present,Travelling,7.0,2020-07-16 09:58:00,2020-07-16_09:51,2020-07-16_09:58
4204.json,2022-07-18 19:18:48.645156055,2022-07-18 19:18:48.962477758,DUR+AFT,Absent,Foraging,4.0,2022-07-18 19:18:00,2022-07-18_19:03,2022-07-18_19:18
3068.json,2020-07-18 08:58:01.538488898,2020-07-18 08:58:02.990078622,BEF+DUR,Present,Travelling,20.0,2020-07-18 08:58:00,2020-07-18_08:57,2020-07-18_08:58
6256.json,2020-07-12 13:57:32.259187237,2020-07-12 13:57:32.482721487,Control,Present,Travelling,3.0,2020-07-12 13:57:00,2020-07-12_13:42,2020-07-12_13:57
3018.json,2020-07-18 08:10:35.267456595,2020-07-18 08:10:35.951543944,DUR,Present,Travelling,1.0,2020-07-18 08:10:00,2020-07-18_07:53,2020-07-18_08:10
13362.json,2021-07-09 11:21:00.994783459,2021-07-09 11:21:01.239326957,Control,Present,,,2021-07-09 11:21:00,2021-07-09_11:09,2021-07-09_11:21
1909.json,2022-07-17 17:28:04.218478355,2022-07-17 17:28:04.544058628,AFT,Absent,Attraction,5.0,2022-07-17 17:28:00,2022-07-17_17:21,2022-07-17_17:28
10802.json,2020-07-16 09:00:27.952674880,2020-07-16 09:00:28.671232317,DUR,Present,Travelling,6.0,2020-07-16 09:00:00,2020-07-16_08:58,2020-07-16_09:00
3547.json,2022-07-18 19:16:27.326523521,2022-07-18 19:16:27.923338967,DUR,Absent,Foraging,4.0,2022-07-18 19:16:00,2022-07-18_19:03,2022-07-18_19:16
6774.json,2020-07-12 13:56:31.527625823,2020-07-12 13:56:32.419256380,Control,Present,Travelling,3.0,2020-07-12 13:56:00,2020-07-12_13:42,2020-07-12_13:56
9833.json,2020-07-16 10:11:46.748771153,2020-07-16 10:11:47.028001176,DUR,Present,Milling,8.0,2020-07-16 10:11:00,2020-07-16_10:06,2020-07-16_10:11
4564.json,2022-07-18 19:41:12.267805440,2022-07-18 19:41:12.832924275,DUR,Absent,Travelling,6.0,2022-07-18 19:41:00,2022-07-18_19:28,2022-07-18_19:41
10468.json,2020-07-16 08:27:01.907463101,2020-07-16 08:27:02.406069471,DUR,Absent,Foraging,40.0,2020-07-16 08:27:00,2020-07-16_08:23,2020-07-16_08:27
293.json,2020-07-11 09:35:05.215304626,2020-07-11 09:35:05.831222504,DUR,Present,Travelling,8.0,2020-07-11 09:35:00,2020-07-11_09:33,2020-07-11_09:35
267.json,2020-07-11 09:35:47.649646714,2020-07-11 09:35:48.172973821,DUR,Present,Travelling,8.0,2020-07-11 09:35:00,2020-07-11_09:33,2020-07-11_09:35
3756.json,2022-07-18 19:17:47.817625498,2022-07-18 19:17:48.056774411,DUR,Absent,Foraging,4.0,2022-07-18 19:17:00,2022-07-18_19:03,2022-07-18_19:17
4237.json,2022-07-18 18:40:39.622326805,2022-07-18 18:40:40.066037460,DUR,Absent,Attraction,5.0,2022-07-18 18:40:00,2022-07-18_18:23,2022-07-18_18:40
9683.json,2020-07-17 08:13:37.842954273,2020-07-17 08:13:39.159496777,DUR+AFT,Present,Attraction,20.0,2020-07-17 08:13:00,2020-07-17_08:08,2020-07-17_08:13
6556.json,2020-07-12 13:58:58.319846823,2020-07-12 13:58:58.752766245,Control,Present,Attraction,2.0,2020-07-12 13:58:00,2020-07-12_13:42,2020-07-12_13:58
2081.json,2022-07-17 17:31:42.782034138,2022-07-17 17:31:43.972891480,DUR,Absent,Foraging,5.0,2022-07-17 17:31:00,2022-07-17_17:21,2022-07-17_17:31
9839.json,2020-07-16 10:11:41.651772580,2020-07-16 10:11:42.024857618,DUR,Present,Milling,8.0,2020-07-16 10:11:00,2020-07-16_10:06,2020-07-16_10:11
3653.json,2022-07-18 18:39:02.985070908,2022-07-18 18:39:03.117103297,DUR,Absent,Attraction,5.0,2022-07-18 18:39:00,2022-07-18_18:23,2022-07-18_18:39
2088.json,2022-07-17 17:31:05.378601054,2022-07-17 17:31:05.707899996,DUR,Absent,Foraging,5.0,2022-07-17 17:31:00,2022-07-17_17:21,2022-07-17_17:31
11903.json,2020-07-16 08:59:42.664705043,2020-07-16 08:59:43.577770623,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59
130.json,2020-07-11 11:41:08.166911079,2020-07-11 11:41:08.894314091,DUR,Present,Foraging,12.0,2020-07-11 11:41:00,2020-07-11_11:40,2020-07-11_11:41
2295.json,2022-07-17 17:27:28.560605110,2022-07-17 17:27:29.760596604,DUR+AFT,Absent,Attraction,5.0,2022-07-17 17:27:00,2022-07-17_17:21,2022-07-17_17:27
3351.json,2022-07-18 18:04:33.055262597,2022-07-18 18:04:33.273565744,AFT,Absent,Foraging,12.0,2022-07-18 18:04:00,2022-07-18_17:37,2022-07-18_18:04
7356.json,2020-07-12 11:52:36.011198507,2020-07-12 11:52:36.514385465,DUR,Present,Travelling,3.0,2020-07-12 11:52:00,2020-07-12_11:48,2020-07-12_11:52
7492.json,2020-07-13 06:48:37.115329363,2020-07-13 06:48:37.726053101,Control,Present,Attraction,10.0,2020-07-13 06:48:00,2020-07-13_06:37,2020-07-13_06:48
11965.json,2020-07-16 08:59:08.900925827,2020-07-16 08:59:10.089181637,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59
4014.json,2022-07-18 18:32:29.278273163,2022-07-18 18:32:29.544495961,AFT,Absent,Foraging,7.0,2022-07-18 18:32:00,2022-07-18_18:23,2022-07-18_18:32
12222.json,2020-07-16 09:37:34.851381642,2020-07-16 09:37:35.027500329,Control,Present,Attraction,5.0,2020-07-16 09:37:00,2020-07-16_09:30,2020-07-16_09:37
11161.json,2020-07-16 10:07:58.331360847,2020-07-16 10:07:59.906380694,DUR,Present,Travelling,8.0,2020-07-16 10:07:00,2020-07-16_10:06,2020-07-16_10:07
9872.json,2020-07-16 10:11:19.736726575,2020-07-16 10:11:20.831306571,DUR,Present,Milling,8.0,2020-07-16 10:11:00,2020-07-16_10:06,2020-07-16_10:11
11371.json,2020-07-16 10:23:19.953707947,2020-07-16 10:23:20.577096898,BEF+DUR,Present,Travelling,2.0,2020-07-16 10:23:00,2020-07-16_10:21,2020-07-16_10:23
5405.json,2020-07-12 14:01:23.689418566,2020-07-12 14:01:24.006653899,Control,Present,Attraction,2.0,2020-07-12 14:01:00,2020-07-12_13:42,2020-07-12_14:01
2760.json,2020-07-18 08:13:15.825031151,2020-07-18 08:13:16.026112752,DUR,Present,Travelling,4.0,2020-07-18 08:13:00,2020-07-18_07:53,2020-07-18_08:13
10322.json,2020-07-16 10:12:19.923741711,2020-07-16 10:12:21.407617223,DUR+AFT,Present,Milling,8.0,2020-07-16 10:12:00,2020-07-16_10:06,2020-07-16_10:12
4145.json,2022-07-18 19:18:14.298413467,2022-07-18 19:18:14.470170676,DUR+AFT,Absent,Foraging,4.0,2022-07-18 19:18:00,2022-07-18_19:03,2022-07-18_19:18
2912.json,2020-07-18 08:59:41.028147123,2020-07-18 08:59:41.845882271,DUR,Present,Travelling,20.0,2020-07-18 08:59:00,2020-07-18_08:57,2020-07-18_08:59
12711.json,2020-07-16 09:59:10.150805810,2020-07-16 09:59:10.655004147,DUR,Present,Travelling,7.0,2020-07-16 09:59:00,2020-07-16_09:51,2020-07-16_09:59
1668.json,2022-07-17 17:52:01.252967545,2022-07-17 17:52:01.946324715,AFT,Absent,Foraging,8.0,2022-07-17 17:52:00,2022-07-17_17:21,2022-07-17_17:52
2145.json,2022-07-17 18:44:48.620171902,2022-07-17 18:44:49.000663901,DUR,Absent,Travelling,10.0,2022-07-17 18:44:00,2022-07-17_18:41,2022-07-17_18:44
3995.json,2022-07-18 18:32:21.863816022,2022-07-18 18:32:22.751432152,AFT,Absent,Foraging,7.0,2022-07-18 18:32:00,2022-07-18_18:23,2022-07-18_18:32
204.json,2020-07-11 11:44:40.026663112,2020-07-11 11:44:40.770563925,DUR,Present,Travelling,35.0,2020-07-11 11:44:00,2020-07-11_11:40,2020-07-11_11:44
