,start_dt,stop_dt,activation_state,fishing_net,behaviour,group_size,date,sequence,file,duration,category
11818.json,2020-07-16 09:32:11.177446583,2020-07-16 09:32:11.624615395,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.447168812,0
11819.json,2020-07-16 09:32:05.861137889,2020-07-16 09:32:06.268580351,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.407442462,0
11820.json,2020-07-16 09:32:01.355303610,2020-07-16 09:32:01.720803465,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.365499855,0
11821.json,2020-07-16 09:32:24.346406521,2020-07-16 09:32:24.722833973,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.376427452,0
11822.json,2020-07-16 09:32:07.820456785,2020-07-16 09:32:08.239882848,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.419426063,0
11823.json,2020-07-16 09:32:25.748566858,2020-07-16 09:32:25.924543394,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.175976536,0
11825.json,2020-07-16 09:32:23.513523733,2020-07-16 09:32:23.768427362,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.254903629,0
11826.json,2020-07-16 09:32:07.466940531,2020-07-16 09:32:08.188952540,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.722012009,0
11827.json,2020-07-16 09:32:05.264953700,2020-07-16 09:32:05.744297772,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.479344072,0
11828.json,2020-07-16 09:32:04.018659112,2020-07-16 09:32:04.360191763,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.341532651,0
11829.json,2020-07-16 09:32:24.029258982,2020-07-16 09:32:24.423470409,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.394211427,0
1183.json,2020-07-11 11:51:32.229354664,2020-07-11 11:51:32.500860906,DUR,Present,Foraging,8.0,2020-07-11 11:51:00,2020-07-11_11:40,2020-07-11_11:51,0.271506242,0
11830.json,2020-07-16 09:32:59.744034129,2020-07-16 09:33:00.000000000,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.255965871,0
11831.json,2020-07-16 09:32:21.788478243,2020-07-16 09:32:21.963353989,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.174875746,0
11832.json,2020-07-16 09:32:07.550825744,2020-07-16 09:32:07.712604368,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.161778624,0
11833.json,2020-07-16 09:32:13.964371247,2020-07-16 09:32:14.396098250,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.431727003,0
11834.json,2020-07-16 09:32:53.404224841,2020-07-16 09:32:53.818973455,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.414748614,0
11835.json,2020-07-16 09:32:09.646753341,2020-07-16 09:32:09.987862884,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.341109543,0
